unit_id,arm,user_id,scenario_id,seed,turn_index,local_first_text_ms,local_complete_ms,local_first_token_ms,generator_first_token_ms,state_hydration_ms,policy_ms,retrieval_ms,prompt_build_ms,tokenization_ms,generation_setup_ms,generation_ms,final_decode_ms,input_tokens,output_tokens,source_invocations
state_66872e1a536d8b32a329,pm_off,p1,p1:1,101,8,539.8999562797447,1928.2244136556983,539.844565015907,305.633104328687,0.11152572308977445,7.1429006444911165,222.56242972798645,0.04246559304495653,4.307625970492761,0.0445130281150341,1693.9002823395033,0.11267062897483508,1819.0,51.0,3.0
state_66872e1a536d8b32a329,rule_off,p1,p1:1,101,8,551.5711788708965,1946.4313049490254,551.5059296352168,306.22516440538067,0.12769262927273908,225.16280862813196,15.280730711917082,0.044493082289894424,4.614410611490409,0.05062956673403581,1701.0367006684344,0.11383905075490475,1819.0,51.0,3.0
state_6a20132a23a99122e178,context_only,p5,p5:2,303,3,73.28657899051905,1394.9902676201116,73.24830838479102,71.99466802800696,0.10786065831780434,0.006409361958503723,0.024730339646339417,0.008555594831705093,1.071389066055417,0.034695335974295936,1393.6185646646966,0.11806259863078594,315.0,50.0,0.0
state_6a20132a23a99122e178,fixed_off,p5,p5:2,303,3,509.0718539431691,1893.442669340099,509.0101369811843,264.31963631572825,0.12642564252018929,0.00859028659760952,240.49134777548412,0.04595362891753515,3.9742003039767346,0.04398302795986334,1648.6385067303975,0.1136619442452987,1652.0,51.0,4.0
state_6a20132a23a99122e178,me_r0,p5,p5:2,303,3,200.1026099702964,2667.2689309343696,200.04667605583867,195.03632273214558,0.10729464702308178,0.0065213534981012344,2.086926639700929,0.0150843213001887,2.7592630746463933,0.03526328752438227,2662.108130985871,0.15044662480552992,1203.0,91.0,1.0
state_6a20132a23a99122e178,pm_off,p5,p5:2,303,3,291.6489376220852,1649.226328978936,291.5972755290568,123.46198324424525,0.10981620289385319,5.852981004863977,159.86920637078583,0.0315793634702762,2.2282196829716363,0.04348965982596079,1480.9719276769708,0.11910901715358098,747.0,51.0,2.0
state_6a20132a23a99122e178,rule_off,p5,p5:2,303,3,567.6269487012178,1880.314536082248,567.553211003542,263.19086528383195,0.1730827304224173,178.5944470514854,121.15959962829947,0.0475333072245121,4.341286374256015,0.04639662802219391,1575.8197694085538,0.13242095398406187,1626.0,48.0,3.0
state_6c0300648c118135c8d6,context_only,p15,p15:2,202,3,73.90213299853106,1990.4931023096044,73.85611797993381,72.42659999368091,0.12430160616834958,0.00786641612648964,0.02921263997753461,0.009566623096664747,1.218108305086692,0.04046239579717318,1988.9348902894806,0.12869403387109438,314.0,72.0,0.0
state_6c0300648c118135c8d6,fixed_off,p15,p15:2,202,3,435.6798066291958,2060.3784462437034,435.60254317708313,244.8418918841829,0.12384929383794467,0.009170034900307655,186.86162664865455,0.04711064199606577,3.6686210272212825,0.05027364629010359,1869.499678335463,0.11811661534011364,1412.0,60.0,4.0
state_6c0300648c118135c8d6,me_r0,p15,p15:2,202,3,184.90928302829465,1997.4096999503672,184.86179558870694,179.71697892062366,0.11433498002588749,0.007101334631443024,2.422376691053311,0.013798397655288378,2.5500402164955935,0.03716504822174708,1992.1215599558006,0.14332332648336887,1026.0,67.0,1.0
state_6c0300648c118135c8d6,pm_off,p15,p15:2,202,3,315.4253033765902,2276.4689296794436,315.3702560036133,120.53427333012223,0.12338898765544097,6.477023397261898,185.84155601759753,0.03744491065541903,2.3052444060643515,0.05132495425641537,2081.478201939414,0.1547450665384531,682.0,73.0,2.0
state_6c0300648c118135c8d6,rule_off,p15,p15:2,202,3,503.4463685782005,2352.2961483492204,503.39781562797725,232.1319243249794,0.11133231843511264,165.8649609889835,101.82098330308993,0.03838368381063143,3.387195368607839,0.04303564007083575,2080.8763375971466,0.15391944907605648,1385.0,68.0,3.0
